LGA,Year,Income
PINGELLY,2016,44100
PLANTAGENET,2016,39032
PORT HEDLAND,2016,81173
QUAIRADING,2016,49798
RAVENSTHORPE,2016,47815
ROCKINGHAM,2016,53318
SANDSTONE,2016,36446
SERPENTINE-JARRAHDALE,2016,54654
SHARK BAY,2016,41478
SOUTH PERTH,2016,56053
STIRLING,2016,52186
SUBIACO,2016,63775
SWAN,2016,52108
TAMMIN,2016,50790
THREE SPRINGS,2016,49095
TOODYAY,2016,45756
TRAYNING,2016,44550
UPPER GASCOYNE,2016,50829
VICTORIA PARK,2016,51759
VICTORIA PLAINS,2016,49464
VINCENT,2016,57850
WAGIN,2016,41247
WANDERING,2016,63118
WANNEROO,2016,50530
WAROONA,2016,47979
WEST ARTHUR,2016,49635
WESTONIA,2016,65900
WICKEPIN,2016,45400
WILLIAMS,2016,50255
WILUNA,2016,40633
WONGAN-BALLIDU,2016,51229
WOODANILLING,2016,45554
WYALKATCHEM,2016,54172
WYNDHAM-EAST KIMBERLEY,2016,54817
YALGOO,2016,38878
YILGARN,2016,53239
YORK,2016,32214
ALBANY,2017,44489
ARMADALE,2017,53059
ASHBURTON,2017,97862
AUGUSTA-MARGARET RIVER,2017,40000
BASSENDEAN,2017,55928
BAYSWATER,2017,52156
BELMONT,2017,52284
BEVERLEY,2017,47565
BODDINGTON,2017,67025
BOYUP BROOK,2017,42438
BRIDGETOWN-GREENBUSHES,2017,41086
BROOKTON,2017,49057
BROOME,2017,56683
BROOMEHILL-TAMBELLUP,2017,51087
BRUCE ROCK,2017,57445
BUNBURY,2017,47482
BUSSELTON,2017,42659
CAMBRIDGE,2017,66887
CANNING,2017,46130
CAPEL,2017,53405
CARNAMAH,2017,47701
CARNARVON,2017,44728
CHAPMAN VALLEY,2017,53191
CHITTERING,2017,51746
CLAREMONT,2017,61947
COCKBURN,2017,55334
COLLIE,2017,48860
COOLGARDIE,2017,65366
COOROW,2017,47126
CORRIGIN,2017,57015
COTTESLOE,2017,74918
CRANBROOK,2017,43517
CUBALLING,2017,44386
CUE,2017,31601
CUNDERDIN,2017,53461
DALWALLINU,2017,52549
DANDARAGAN,2017,42129
DARDANUP,2017,50706
DENMARK,2017,32864
DERBY-WEST KIMBERLEY,2017,48257
DONNYBROOK-BALINGUP,2017,38563
DOWERIN,2017,45668
DUMBLEYUNG,2017,59652
DUNDAS,2017,48890
EAST FREMANTLE,2017,62240
EAST PILBARA,2017,78327
ESPERANCE,2017,49190
EXMOUTH,2017,50117
FREMANTLE,2017,55294
GINGIN,2017,37572
GNOWANGERUP,2017,60777
GOOMALLING,2017,45930
GOSNELLS,2017,49343
GREATER GERALDTON,2017,51331
HALLS CREEK,2017,41528
HARVEY,2017,50847
IRWIN,2017,44919
JERRAMUNGUP,2017,51546
JOONDALUP,2017,53753
KALAMUNDA,2017,52976
KALGOORLIE/BOULDER,2017,67751
KARRATHA,2017,78594
KATANNING,2017,45903
KELLERBERRIN,2017,47706
KENT,2017,64545
KOJONUP,2017,47399
KONDININ,2017,51370
KOORDA,2017,39379
KULIN,2017,57937
KWINANA,2017,54415
LAKE GRACE,2017,58754
LAVERTON,2017,51317
LEONORA,2017,70868
MANDURAH,2017,47165
MANJIMUP,2017,39104
MEEKATHARRA,2017,52948
MELVILLE,2017,53416
MENZIES,2017,43735
MERREDIN,2017,52250
MINGENEW,2017,57804
MOORA,2017,52223
MORAWA,2017,47044
MOSMAN PARK,2017,61500
MOUNT MAGNET,2017,45823
MOUNT MARSHALL,2017,37768
MUKINBUDIN,2017,43952
MUNDARING,2017,51846
MURCHISON,2017,72570
MURRAY,2017,47526
NANNUP,2017,33098
NAREMBEEN,2017,53820
NARROGIN,2017,49478
NEDLANDS,2017,67331
NGAANYATJARRAKU,2017,22783
NORTHAM,2017,49767
NORTHAMPTON,2017,39848
NUNGARIN,2017,40050
PEPPERMINT GROVE,2017,90486
PERENJORI,2017,37204
PERTH,2017,53450
PINGELLY,2017,47401
PLANTAGENET,2017,40742
PORT HEDLAND,2017,83516
QUAIRADING,2017,56316
RAVENSTHORPE,2017,52584
ROCKINGHAM,2017,54495
SANDSTONE,2017,38699
SERPENTINE-JARRAHDALE,2017,55810
SHARK BAY,2017,38960
SOUTH PERTH,2017,57248
STIRLING,2017,53300
SUBIACO,2017,64502
SWAN,2017,53060
TAMMIN,2017,52000
THREE SPRINGS,2017,49925
TOODYAY,2017,46602
TRAYNING,2017,46311
UPPER GASCOYNE,2017,59913
VICTORIA PARK,2017,53802
VICTORIA PLAINS,2017,57573
VINCENT,2017,60222
WAGIN,2017,44227
WANDERING,2017,59916
WANNEROO,2017,51659
WAROONA,2017,48022
WEST ARTHUR,2017,50636
WESTONIA,2017,59763
WICKEPIN,2017,57175
WILLIAMS,2017,54914
WILUNA,2017,44558
WONGAN-BALLIDU,2017,50332
WOODANILLING,2017,48732
WYALKATCHEM,2017,49054
WYNDHAM-EAST KIMBERLEY,2017,56800
YALGOO,2017,35564
YILGARN,2017,57067
YORK,2017,44186
