LGA,Year,Income
DONNYBROOK-BALINGUP,2014-15,39171
DOWERIN,2014-15,48707
DUMBLEYUNG,2014-15,59094
DUNDAS,2014-15,43612
EAST FREMANTLE,2014-15,62515
EAST PILBARA,2014-15,79169
ESPERANCE,2014-15,45597
EXMOUTH,2014-15,50090
FREMANTLE,2014-15,54513
GINGIN,2014-15,38490
GNOWANGERUP,2014-15,52925
GOOMALLING,2014-15,49246
GOSNELLS,2014-15,49940
GREATER GERALDTON,2014-15,50974
HALLS CREEK,2014-15,42448
HARVEY,2014-15,51596
IRWIN,2014-15,46785
JERRAMUNGUP,2014-15,49488
JOONDALUP,2014-15,54565
KALAMUNDA,2014-15,54124
KALGOORLIE/BOULDER,2014-15,66098
KARRATHA,2014-15,84467
KATANNING,2014-15,43521
KELLERBERRIN,2014-15,44728
KENT,2014-15,71892
KOJONUP,2014-15,42407
KONDININ,2014-15,59982
KOORDA,2014-15,53088
KULIN,2014-15,59068
KWINANA,2014-15,53945
LAKE GRACE,2014-15,63835
LAVERTON,2014-15,44031
LEONORA,2014-15,61958
MANDURAH,2014-15,48163
MANJIMUP,2014-15,39424
MEEKATHARRA,2014-15,48450
MELVILLE,2014-15,54236
MENZIES,2014-15,38020
MERREDIN,2014-15,51266
MINGENEW,2014-15,48610
MOORA,2014-15,51519
MORAWA,2014-15,51243
MOSMAN PARK,2014-15,61907
MOUNT MAGNET,2014-15,39360
MOUNT MARSHALL,2014-15,51526
MUKINBUDIN,2014-15,43952
MUNDARING,2014-15,52380
MURCHISON,2014-15,75448
MURRAY,2014-15,47903
NANNUP,2014-15,34000
NAREMBEEN,2014-15,52376
NARROGIN,2014-15,48717
NEDLANDS,2014-15,69166
NGAANYATJARRAKU,2014-15,20466
NORTHAM,2014-15,49707
NORTHAMPTON,2014-15,36488
NUNGARIN,2014-15,47286
PEPPERMINT GROVE,2014-15,88452
PERENJORI,2014-15,36022
PERTH,2014-15,54010
PINGELLY,2014-15,50727
PLANTAGENET,2014-15,37759
PORT HEDLAND,2014-15,85272
QUAIRADING,2014-15,60438
RAVENSTHORPE,2014-15,55847
ROCKINGHAM,2014-15,55602
SANDSTONE,2014-15,43509
SERPENTINE-JARRAHDALE,2014-15,55768
SHARK BAY,2014-15,45018
SOUTH PERTH,2014-15,58605
STIRLING,2014-15,54290
SUBIACO,2014-15,66884
SWAN,2014-15,52977
TAMMIN,2014-15,55067
THREE SPRINGS,2014-15,40292
TOODYAY,2014-15,45326
TRAYNING,2014-15,44450
UPPER GASCOYNE,2014-15,47998
VICTORIA PARK,2014-15,53586
VICTORIA PLAINS,2014-15,48774
VINCENT,2014-15,59163
WAGIN,2014-15,45395
WANDERING,2014-15,71146
WANNEROO,2014-15,51904
